cr_film_id,url,title,original_title,year,preferred_lang_class,display_name,candidate_count,failure_reasons,candidate_upload_ids
26795,https://ceskarepublika.wiki/filmy-online/happy-halloween-scooby-doo,"Happy Halloween, Scooby-Doo!",,2020,CZ_NATIVE,"Happy Halloween, Scooby-Doo! (2020) CZ",1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/scooby-doo-stastny-halloween-happy-halloween-scooby-doo-2020-sk-web-dl-1080-hevc/68fe017636737,68fe017636737
3776,https://ceskarepublika.wiki/filmy-online/hnuti-odporu,Hnutí odporu,Resistance,2020,CZ_DUB,Hnutí odporu (2020) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/hnuti-odporu-2020-cz-dabing/8e8054823645ed23,8e8054823645ed23
2601,https://ceskarepublika.wiki/filmy-online/krajina-ve-stinu,Krajina ve stínu,Krajina ve stínu,2020,CZ_DUB,Krajina ve stínu (2020) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/krajina-ve-stinu-2020-cz-dab-1080p/9bf70c166ab676aa,9bf70c166ab676aa
1643,https://ceskarepublika.wiki/filmy-online/minamata,Minamata,Minamata,2020,CZ_DUB,Minamata (2020) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/minamata-2020-cz-dabing/fab8baa5fca045c9,fab8baa5fca045c9
7476,https://ceskarepublika.wiki/filmy-online/nejvetsi-dar,Největší dar,Největší dar,2020,CZ_DUB,Největší dar (2020) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/nejvetsi-dar-bolek-polivka-anna-polivkova-chantal-poullain-2022-pohadka-bdrip-1080p-cz-dabing/791b5d8801c296fb,791b5d8801c296fb
5396,https://ceskarepublika.wiki/filmy-online/pretlak,Přetlak,Surge,2020,CZ_DUB,Přetlak (2020) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/pretlak-2020-cz-dabing/a351da7ebcc85d00,a351da7ebcc85d00
8669,https://ceskarepublika.wiki/filmy-online/tajemstvi-rodiny-calebovych,Tajemství rodiny Calebových,The Au Pair Nightmare,2020,CZ_DUB,Tajemství rodiny Calebových (2020) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/tajemstvi-rodiny-calebovych-2020-cz-dabing-hd-mp4/a81488e35264f7a9,a81488e35264f7a9
9477,https://ceskarepublika.wiki/filmy-online/tajemstvi-ve-snehu,Tajemství ve sněhu,Secrets in the Snow,2020,CZ_DUB,Tajemství ve sněhu (2020) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/tajemstvi-ve-snehu-2020-cz-dabing-hd-mp4/2fea843c5c5ec7d6,2fea843c5c5ec7d6
14368,https://ceskarepublika.wiki/filmy-online/zasnuby-strachu,Zásnuby strachu,"I Do, or Die: A Killer Arrangement",2020,CZ_DUB,Zásnuby strachu (2020) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/zasnuby-strachu-2020-cz-dabing-hd-mp4/1cc2d0f048d874b8,1cc2d0f048d874b8
14202,https://ceskarepublika.wiki/filmy-online/uhlavni-nepritel,Úhlavní nepřítel,Archenemy,2020,CZ_NATIVE,Úhlavní nepřítel (2020) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/uhlavni-nepritel-2020-cz-dabing-mp4/9ea76d835890f853,9ea76d835890f853
2922,https://ceskarepublika.wiki/filmy-online/utek-z-pretorie,Útěk z Pretorie,Escape from Pretoria,2020,CZ_DUB,Útěk z Pretorie (2020) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/utek-z-pretorie-2020-hd-cz-mp4/6e5a4a4328ccd69a | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/utek-z-pretorie-escape-from-pretoria-2020-cz-dabing/a7ea29d31fcf5a46,6e5a4a4328ccd69a;a7ea29d31fcf5a46
1630,https://ceskarepublika.wiki/filmy-online/belfast,Belfast,Belfast,2021,CZ_DUB,Belfast (2021) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/belfast-2021-cz-dabing/11302d21a579a113,11302d21a579a113
34765,https://ceskarepublika.wiki/filmy-online/clean-2021,Clean,,2021,CZ_DUB,Clean (2021) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/clean-2021-cz-dab-1080p/dc2af2acbee6d76b,dc2af2acbee6d76b
6219,https://ceskarepublika.wiki/filmy-online/denik-memu-synovi,Deník mému synovi,A Journal for Jordan,2021,CZ_DUB,Deník mému synovi (2021) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/denik-memu-synovi-2021-cz-dabing/049fd27300cff8c2,049fd27300cff8c2
14511,https://ceskarepublika.wiki/filmy-online/dobry-sef,Dobrý šéf,El buen patrón,2021,CZ_DUB,Dobrý šéf (2021) CZ Dabing,2,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/dobry-sef-2021-cz-dab-1080p/b6ce9421d10ef646 | resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/dobry-sef-2021-cz-dabing/0571c8316c63dce1,b6ce9421d10ef646;0571c8316c63dce1
